model,ens,exp,postprocess,table,grid,varn,period,mean
EC-Earth3-Veg,r6i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,286.92
EC-Earth3-Veg,r12i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,286.66
EC-Earth3-Veg,r14i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,286.73
EC-Earth3,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,287.11
EC-Earth3,r4i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,286.90
EC-Earth3,r6i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,286.99
EC-Earth3,r9i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,287.07
EC-Earth3,r11i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,287.05
EC-Earth3,r13i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,286.85
EC-Earth3,r15i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,286.88
FGOALS-f3-L,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,285.87
FGOALS-g3,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.16
FGOALS-g3,r2i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.18
FGOALS-g3,r3i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.13
FGOALS-g3,r4i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.10
FIO-ESM-2-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,286.41
FIO-ESM-2-0,r2i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,286.42
FIO-ESM-2-0,r3i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,286.46
GFDL-ESM4,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,1850-1900,286.56
GISS-E2-1-G,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,1850-1900,286.81
GISS-E2-1-G,r1i1p3f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.25
GISS-E2-1-G,r1i1p5f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.29
GISS-E2-1-G,r2i1p3f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.29
GISS-E2-1-G,r3i1p3f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.27
GISS-E2-1-G,r4i1p3f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.30
GISS-E2-1-G,r5i1p3f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.33
HadGEM3-GC31-LL,r1i1p1f3,ssp126,global_mean,Amon,gn,tas,1850-1900,286.75
HadGEM3-GC31-MM,r1i1p1f3,ssp126,global_mean,Amon,gn,tas,1850-1900,287.02
IITM-ESM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,287.25
INM-CM4-8,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,1850-1900,286.48
INM-CM5-0,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,1850-1900,286.32
IPSL-CM6A-LR,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,285.97
IPSL-CM6A-LR,r2i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,285.92
IPSL-CM6A-LR,r3i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,285.94
IPSL-CM6A-LR,r4i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,285.93
IPSL-CM6A-LR,r6i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,286.05
IPSL-CM6A-LR,r14i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,285.95
KACE-1-0-G,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,286.72
KACE-1-0-G,r2i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,286.70
KACE-1-0-G,r3i1p1f1,ssp126,global_mean,Amon,gr,tas,1850-1900,286.76
KIOST-ESM,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,1850-1900,285.89
MCM-UA-1-0,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,1850-1900,286.62
MIROC6,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.41
MIROC6,r2i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.42
MIROC6,r3i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.40
MIROC6,r4i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.43
MIROC6,r5i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.43
MIROC6,r6i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.39
MIROC6,r7i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.38
MIROC6,r8i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.43
MIROC6,r9i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.36
MIROC6,r10i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.45
MIROC6,r11i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.39
MIROC6,r12i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.40
MIROC6,r13i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.39
MIROC6,r14i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.47
MIROC6,r15i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.41
MIROC6,r16i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.33
MIROC6,r17i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.40
MIROC6,r18i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.40
MIROC6,r19i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.46
MIROC6,r20i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.46
MIROC6,r21i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.42
MIROC6,r22i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.43
MIROC6,r23i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.41
MIROC6,r24i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.43
MIROC6,r25i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.42
MIROC6,r26i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.43
MIROC6,r27i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.40
MIROC6,r28i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.40
MIROC6,r29i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.43
MIROC6,r30i1p1f1,ssp126,global_mean,Amon,gn,tas,1850-1900,288.43
