model,ens,exp,postprocess,table,grid,varn,period,mean
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2090,2.17
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2091-2100,0.88
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2091-2100,1.47
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2091-2100,2.18
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2091-2100,1.48
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2091-2100,2.14
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2091-2100,1.87
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2091-2100,1.05
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2091-2100,0.99
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2091-2100,1.58
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2091-2100,1.66
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2091-2100,1.01
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2091-2100,1.24
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2091-2100,1.29
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2091-2100,2.17
ACCESS-CM2,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.63
ACCESS-ESM1-5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.50
AWI-CM-1-1-MR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.71
BCC-CSM2-MR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.33
CAMS-CSM1-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.06
CESM2-WACCM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.81
CESM2,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.68
CIESM,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2021-2040,1.92
CMCC-CM2-SR5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.73
