#Covars (covariate phase for each covs - do not alter this line)
# fracbelow2 # largeZoop_integrated # pH_depthavg # temp_bottom5m # temp_surface5m # fracbelow2_Winter # largeZoop_integrated_Winter # pH_depthavg_Winter # temp_bottom5m_Winter # temp_surface5m_Winter # fracbelow2_Spring # largeZoop_integrated_Spring # pH_depthavg_Spring # temp_bottom5m_Spring # temp_surface5m_Spring # fracbelow2_Summer # largeZoop_integrated_Summer # pH_depthavg_Summer # temp_bottom5m_Summer # temp_surface5m_Summer # fracbelow2_Fall # largeZoop_integrated_Fall # pH_depthavg_Fall # temp_bottom5m_Fall # temp_surface5m_Fall
#nspp2 : 

#nTyrs : number years for the zooplankton hindcast data 
41
#hind_years : years for covariates 
1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019
#ncov : number of covariates 
25
#nEatcovs : DEFUNCT 
1
#Eat_covs : DEFUNCT 
3
#COVAR_START ##############################################DO NOT REMOVE THIS LINE OR REC FIT WONT RUN!
#  temp_surface5m_Spring : temp_surface5m_Spring
1.737218 1.029776 2.236651 -0.4409023 1.382695 0.07178045 -0.730404 -0.3518482 0.5829228 -0.8731567 0.2752236 0.5737234 -0.05599052 -0.2175207 1.267474 -0.2506974 -0.407384 0.7630276 0.4650801 -0.3952113 -1.317198 -0.4419062 -0.09107487 0.8443201 1.404156 1.197912 0.5394092 -0.9576469 -1.398525 -1.761832 -1.184695 -1.758159 -1.262967 -2.364658 -0.9742814 1.081187 0.5689509 2.156962 0.357228 0.8715808 2.739234
#  fracbelow2_Summer : fracbelow2_Summer
-1.662769 -1.14145 -1.130437 -1.188237 -0.8151494 0.6816511 0.1248202 0.3566828 -0.8866063 -0.5894982 -1.370195 -0.5812168 -0.0984242 1.2602 -0.8759616 -0.1052427 1.209521 -0.6987375 0.8175927 -0.9861089 1.293133 0.2095663 -0.225443 -0.4564241 -1.228888 -0.3405224 -0.5516568 0.7386362 1.715172 1.52198 1.922467 1.418777 0.6208364 2.372128 0.976797 -0.7793818 -0.1449294 -1.007687 0.1843147 -1.782957 -1.388751
#  largeZoop_integrated_Summer : largeZoop_integrated_Summer
-1.532247 -0.545192 -0.8643752 -0.02597171 0.2168991 0.7972755 0.0742723 0.2884282 -0.8245027 -0.1022853 -0.4252966 -0.9374226 -1.46741 -0.3141149 -1.668982 0.8966453 0.4405976 -2.540548 -0.3076932 0.7879874 0.8499622 0.9511023 0.1125258 -0.4331106 -1.491991 0.1139428 -0.1437435 1.031619 1.910853 1.013463 1.29905 1.308016 1.735353 1.544381 0.06543955 -0.395901 -0.8331327 -1.608617 0.1342346 -0.4648681 -1.777641
#  pH_depthavg_Summer : pH_depthavg_Summer
0.01679356 0.8150682 0.03110269 1.841445 0.4709159 1.634391 2.088417 0.4589049 0.07085344 0.8429045 0.4546231 -0.330746 -0.5379847 0.1750644 -1.177885 -0.5197503 0.9901728 -0.8551263 1.683907 -0.481264 0.331965 -0.2349279 0.003426146 -0.6261213 -1.395399 -0.001136936 -0.2767129 -0.3009091 -0.6620173 -1.963927 -1.777033 -0.7522202 -1.406364 -0.9488446 -3.365201 -3.466541 -2.203876 -3.324262 -1.76947 -5.333199 -5.450076
#  temp_bottom5m_Summer : temp_bottom5m_Summer
2.461949 1.445272 1.586884 1.02691 0.9595731 -0.9566147 -0.155135 -0.4345117 1.370519 0.2142013 0.9126582 0.5226523 -0.1139119 -1.127236 1.383169 0.1675627 -1.0732 0.4591978 -0.5656583 0.8032457 -1.293105 -0.4176363 0.01548016 0.3474464 1.04979 0.3670414 0.5018144 -0.8036148 -1.620539 -1.568884 -1.561503 -1.441866 -0.855785 -2.203815 -1.100312 0.5508644 0.5274411 1.791008 -0.3560409 1.240377 1.247614
