model,ens,exp,postprocess,table,varn,period,mean
EC-EARTH,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.62
EC-EARTH,r2i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.54
EC-EARTH,r5i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.53
EC-EARTH,r8i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.57
EC-EARTH,r9i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.59
EC-EARTH,r12i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.59
FGOALS-g2,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.34
FGOALS-s2,r3i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.94
FIO-ESM,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.44
FIO-ESM,r2i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.45
FIO-ESM,r3i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.45
GISS-E2-H-CC,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.39
GISS-E2-H,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.90
GISS-E2-H,r1i1p2,rcp85,global_mean,Amon,tas,1850-1900,288.07
GISS-E2-H,r1i1p3,rcp85,global_mean,Amon,tas,1850-1900,288.19
GISS-E2-H,r2i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.95
GISS-E2-H,r2i1p3,rcp85,global_mean,Amon,tas,1850-1900,288.08
GISS-E2-R-CC,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.44
GISS-E2-R,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.50
GISS-E2-R,r1i1p2,rcp85,global_mean,Amon,tas,1850-1900,287.62
GISS-E2-R,r1i1p3,rcp85,global_mean,Amon,tas,1850-1900,287.64
GISS-E2-R,r2i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.44
GISS-E2-R,r2i1p3,rcp85,global_mean,Amon,tas,1850-1900,287.64
IPSL-CM5A-LR,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.24
IPSL-CM5A-LR,r2i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.25
IPSL-CM5A-LR,r3i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.24
IPSL-CM5A-LR,r4i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.18
IPSL-CM5A-MR,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.19
IPSL-CM5B-LR,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.94
MIROC5,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.69
MIROC5,r2i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.53
MIROC5,r3i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.55
MPI-ESM-LR,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.56
MPI-ESM-LR,r2i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.49
MPI-ESM-LR,r3i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.58
MPI-ESM-MR,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.78
MRI-CGCM3,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.72
NorESM1-ME,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,285.90
NorESM1-M,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.28
bcc-csm1-1-m,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,287.51
bcc-csm1-1,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.93
inmcm4,r1i1p1,rcp85,global_mean,Amon,tas,1850-1900,286.33
