model,ens,exp,postprocess,table,varn,period,mean
CCSM4,r6i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.82
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.01
CESM1-CAM5,r2i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.94
CESM1-CAM5,r3i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.11
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.66
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.95
CSIRO-Mk3-6-0,r2i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.87
CSIRO-Mk3-6-0,r3i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.86
CSIRO-Mk3-6-0,r4i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.79
CSIRO-Mk3-6-0,r5i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.96
CSIRO-Mk3-6-0,r6i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.00
CSIRO-Mk3-6-0,r7i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.90
CSIRO-Mk3-6-0,r8i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.80
CSIRO-Mk3-6-0,r9i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.92
CSIRO-Mk3-6-0,r10i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.92
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.31
CanESM2,r2i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.32
CanESM2,r3i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.33
CanESM2,r4i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.32
CanESM2,r5i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.33
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.86
EC-EARTH,r12i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.77
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.13
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,0.87
FIO-ESM,r2i1p1,rcp26,global_mean,Amon,tas,2081-2100,0.95
FIO-ESM,r3i1p1,rcp26,global_mean,Amon,tas,2081-2100,0.95
GFDL-CM3,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.36
GFDL-ESM2G,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,0.92
GFDL-ESM2M,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.32
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.58
GISS-E2-H,r1i1p2,rcp26,global_mean,Amon,tas,2081-2100,1.36
GISS-E2-H,r1i1p3,rcp26,global_mean,Amon,tas,2081-2100,1.83
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.06
GISS-E2-R,r1i1p2,rcp26,global_mean,Amon,tas,2081-2100,1.01
GISS-E2-R,r1i1p3,rcp26,global_mean,Amon,tas,2081-2100,1.53
HadGEM2-AO,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.68
HadGEM2-ES,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.86
HadGEM2-ES,r2i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.89
HadGEM2-ES,r3i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.93
HadGEM2-ES,r4i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.93
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.31
IPSL-CM5A-LR,r2i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.23
IPSL-CM5A-LR,r3i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.23
IPSL-CM5A-LR,r4i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.24
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.95
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.51
MIROC5,r2i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.49
MIROC5,r3i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.64
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.62
MPI-ESM-LR,r2i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.69
MPI-ESM-LR,r3i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.62
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.65
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.38
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.50
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.43
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.80
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.79
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,2.01
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.65
CCSM4,r2i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.68
CCSM4,r3i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.62
CCSM4,r4i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.71
CCSM4,r5i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.65
CCSM4,r6i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.67
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.42
CESM1-CAM5,r2i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.28
CESM1-CAM5,r3i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.35
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.23
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.29
CSIRO-Mk3-6-0,r2i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.24
CSIRO-Mk3-6-0,r3i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.35
CSIRO-Mk3-6-0,r4i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.23
CSIRO-Mk3-6-0,r5i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.39
CSIRO-Mk3-6-0,r6i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.32
CSIRO-Mk3-6-0,r7i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.24
CSIRO-Mk3-6-0,r8i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.22
CSIRO-Mk3-6-0,r9i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.24
CSIRO-Mk3-6-0,r10i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.32
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.84
CanESM2,r2i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.87
CanESM2,r3i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.87
CanESM2,r4i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.89
CanESM2,r5i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.80
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.51
EC-EARTH,r12i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.54
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.04
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.35
FIO-ESM,r2i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.34
FIO-ESM,r3i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.33
GFDL-CM3,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.58
GFDL-ESM2G,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.09
GFDL-ESM2M,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.23
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.48
GISS-E2-H,r1i1p2,rcp26,global_mean,Amon,tas,2016-2035,1.33
GISS-E2-H,r1i1p3,rcp26,global_mean,Amon,tas,2016-2035,1.55
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.16
GISS-E2-R,r1i1p2,rcp26,global_mean,Amon,tas,2016-2035,1.01
GISS-E2-R,r1i1p3,rcp26,global_mean,Amon,tas,2016-2035,1.22
HadGEM2-AO,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.08
HadGEM2-ES,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.59
HadGEM2-ES,r2i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.50
HadGEM2-ES,r3i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.43
HadGEM2-ES,r4i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.53
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.90
IPSL-CM5A-LR,r2i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.83
IPSL-CM5A-LR,r3i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.83
IPSL-CM5A-LR,r4i1p1,rcp26,global_mean,Amon,tas,2016-2035,2.03
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.65
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.11
MIROC5,r2i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.13
MIROC5,r3i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.28
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.52
MPI-ESM-LR,r2i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.70
MPI-ESM-LR,r3i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.53
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.51
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,0.89
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.19
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.18
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.82
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,2016-2035,1.56
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,2.22
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.89
CCSM4,r2i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.91
CCSM4,r3i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.85
CCSM4,r4i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.85
CCSM4,r5i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.84
CCSM4,r6i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.87
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.90
CESM1-CAM5,r2i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.76
CESM1-CAM5,r3i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.93
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.65
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.73
CSIRO-Mk3-6-0,r2i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.75
CSIRO-Mk3-6-0,r3i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.70
CSIRO-Mk3-6-0,r4i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.60
CSIRO-Mk3-6-0,r5i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.84
CSIRO-Mk3-6-0,r6i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.71
CSIRO-Mk3-6-0,r7i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.67
CSIRO-Mk3-6-0,r8i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.59
CSIRO-Mk3-6-0,r9i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.79
CSIRO-Mk3-6-0,r10i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.85
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,2.34
CanESM2,r2i1p1,rcp26,global_mean,Amon,tas,2046-2065,2.28
CanESM2,r3i1p1,rcp26,global_mean,Amon,tas,2046-2065,2.32
CanESM2,r4i1p1,rcp26,global_mean,Amon,tas,2046-2065,2.29
CanESM2,r5i1p1,rcp26,global_mean,Amon,tas,2046-2065,2.24
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.83
EC-EARTH,r12i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.86
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.33
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.29
FIO-ESM,r2i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.17
FIO-ESM,r3i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.45
GFDL-CM3,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,2.11
GFDL-ESM2G,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.08
GFDL-ESM2M,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.29
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.67
GISS-E2-H,r1i1p2,rcp26,global_mean,Amon,tas,2046-2065,1.50
GISS-E2-H,r1i1p3,rcp26,global_mean,Amon,tas,2046-2065,1.83
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.23
GISS-E2-R,r1i1p2,rcp26,global_mean,Amon,tas,2046-2065,1.09
GISS-E2-R,r1i1p3,rcp26,global_mean,Amon,tas,2046-2065,1.53
HadGEM2-AO,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.61
HadGEM2-ES,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.99
HadGEM2-ES,r2i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.99
HadGEM2-ES,r3i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.96
HadGEM2-ES,r4i1p1,rcp26,global_mean,Amon,tas,2046-2065,2.08
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,2.23
IPSL-CM5A-LR,r2i1p1,rcp26,global_mean,Amon,tas,2046-2065,2.17
IPSL-CM5A-LR,r3i1p1,rcp26,global_mean,Amon,tas,2046-2065,2.18
IPSL-CM5A-LR,r4i1p1,rcp26,global_mean,Amon,tas,2046-2065,2.39
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,2.05
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.54
MIROC5,r2i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.50
MIROC5,r3i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.57
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.74
MPI-ESM-LR,r2i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.86
MPI-ESM-LR,r3i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.79
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.72
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.19
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.47
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.39
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.98
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,2046-2065,1.82
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.76
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2011-2020,1.49
