FID_ROMS_r,eta_rho,xi_rho,lat_DD,lon_DD,FID_polygo,AREA,PERIMETER,EBS_BLOCKS,EBS_BLOC_1,EBSGRID_AL,EBSGRID__1,STATION_GR,STATION__1,STATION_ID
11906,66.000000,77.000000,55.059358,-166.555194,583,1443590000.00000000000,151926.00000000000,583,582,583,664,561,542,A-03
11543,64.000000,78.000000,55.062715,-166.152486,583,1443590000.00000000000,151926.00000000000,583,582,583,664,561,542,A-03
10091,56.000000,82.000000,55.063658,-164.541370,586,1380640000.00000000000,148654.00000000000,586,584,585,667,564,545,A-06
11180,62.000000,79.000000,55.064823,-165.749725,584,1381180000.00000000000,148872.00000000000,584,583,584,665,562,543,A-04
10454,58.000000,81.000000,55.065295,-164.944143,585,1443700000.00000000000,151900.00000000000,585,585,586,666,563,544,A-05
10817,60.000000,80.000000,55.065684,-165.346937,585,1443700000.00000000000,151900.00000000000,585,585,586,666,563,544,A-05
12451,69.000000,76.000000,55.098677,-167.120857,581,1367770000.00000000000,147979.00000000000,581,581,582,663,560,541,A-02
12088,67.000000,77.000000,55.103786,-166.717824,581,1367770000.00000000000,147979.00000000000,581,581,582,663,560,541,A-02
11725,65.000000,78.000000,55.107647,-166.314707,583,1443590000.00000000000,151926.00000000000,583,582,583,664,561,542,A-03
11362,63.000000,79.000000,55.110258,-165.911528,584,1381180000.00000000000,148872.00000000000,584,583,584,665,562,543,A-04
10273,57.000000,82.000000,55.110591,-164.701859,586,1380640000.00000000000,148654.00000000000,586,584,585,667,564,545,A-06
10999,61.000000,80.000000,55.111619,-165.508311,584,1381180000.00000000000,148872.00000000000,584,583,584,665,562,543,A-04
10636,59.000000,81.000000,55.111730,-165.105080,585,1443700000.00000000000,151900.00000000000,585,585,586,666,563,544,A-05
12270,68.000000,77.000000,55.148009,-166.880794,581,1367770000.00000000000,147979.00000000000,581,581,582,663,560,541,A-02
11907,66.000000,78.000000,55.152373,-166.477270,583,1443590000.00000000000,151926.00000000000,583,582,583,664,561,542,A-03
10092,56.000000,83.000000,55.155432,-164.459062,586,1380640000.00000000000,148654.00000000000,586,584,585,667,564,545,A-06
11544,64.000000,79.000000,55.155487,-166.073675,583,1443590000.00000000000,151926.00000000000,583,582,583,664,561,542,A-03
10455,58.000000,82.000000,55.157322,-164.862703,586,1380640000.00000000000,148654.00000000000,586,584,585,667,564,545,A-06
11181,62.000000,80.000000,55.157350,-165.670033,584,1381180000.00000000000,148872.00000000000,584,583,584,665,562,543,A-04
10818,60.000000,81.000000,55.157961,-165.266368,585,1443700000.00000000000,151900.00000000000,585,585,586,666,563,544,A-05
13541,75.000000,74.000000,55.169908,-168.255159,568,1445640000.00000000000,152303.00000000000,568,574,575,654,551,566,
13178,73.000000,75.000000,55.178530,-167.851617,568,1445640000.00000000000,152303.00000000000,568,574,575,654,551,566,
12815,71.000000,76.000000,55.185902,-167.447923,571,1452960000.00000000000,152559.00000000000,571,572,573,655,552,533,B-01
9185,51.000000,86.000000,55.190772,-163.407857,582,1370510000.00000000000,147654.00000000000,582,578,579,662,559,540,B-08
12452,69.000000,77.000000,55.192023,-167.044101,573,1329110000.00000000000,146005.00000000000,573,573,574,656,553,534,B-02
9548,53.000000,85.000000,55.195920,-163.811762,580,1398990000.00000000000,149715.00000000000,580,577,578,661,558,539,B-07
12089,67.000000,78.000000,55.196893,-166.640175,575,1399390000.00000000000,149818.00000000000,575,575,576,657,554,535,B-03
9911,55.000000,84.000000,55.199815,-164.215754,580,1398990000.00000000000,149715.00000000000,580,577,578,661,558,539,B-07
11726,65.000000,79.000000,55.200511,-166.236167,575,1399390000.00000000000,149818.00000000000,575,575,576,657,554,535,B-03
10274,57.000000,83.000000,55.202459,-164.619807,579,1343100000.00000000000,146466.00000000000,579,580,581,660,557,538,B-06
11363,63.000000,80.000000,55.202876,-165.832103,577,1360180000.00000000000,147315.00000000000,577,576,577,658,555,536,B-04
10637,59.000000,82.000000,55.203851,-165.023899,578,1385290000.00000000000,149153.00000000000,578,579,580,659,556,537,B-05
11000,61.000000,81.000000,55.203990,-165.428006,578,1385290000.00000000000,149153.00000000000,578,579,580,659,556,537,B-05
13723,76.000000,74.000000,55.212190,-168.419944,568,1445640000.00000000000,152303.00000000000,568,574,575,654,551,566,
13360,74.000000,75.000000,55.221322,-168.016032,568,1445640000.00000000000,152303.00000000000,568,574,575,654,551,566,
12997,72.000000,76.000000,55.229202,-167.611959,571,1452960000.00000000000,152559.00000000000,571,572,573,655,552,533,B-01
9004,50.000000,87.000000,55.233185,-163.163277,582,1370510000.00000000000,147654.00000000000,582,578,579,662,559,540,B-08
12634,70.000000,77.000000,55.235830,-167.207747,573,1329110000.00000000000,146005.00000000000,573,573,574,656,553,534,B-02
9367,52.000000,86.000000,55.239089,-163.567558,582,1370510000.00000000000,147654.00000000000,582,578,579,662,559,540,B-08
12271,68.000000,78.000000,55.241206,-166.803420,573,1329110000.00000000000,146005.00000000000,573,573,574,656,553,534,B-02
9730,54.000000,85.000000,55.243741,-163.971939,580,1398990000.00000000000,149715.00000000000,580,577,578,661,558,539,B-07
11908,66.000000,79.000000,55.245328,-166.399004,575,1399390000.00000000000,149818.00000000000,575,575,576,657,554,535,B-03
10093,56.000000,84.000000,55.247140,-164.376398,579,1343100000.00000000000,146466.00000000000,579,580,581,660,557,538,B-06
11545,64.000000,80.000000,55.248198,-165.994520,577,1360180000.00000000000,147315.00000000000,577,576,577,658,555,536,B-04
10456,58.000000,83.000000,55.249285,-164.780909,579,1343100000.00000000000,146466.00000000000,579,580,581,660,557,538,B-06
11182,62.000000,81.000000,55.249814,-165.589994,577,1360180000.00000000000,147315.00000000000,577,576,577,658,555,536,B-04
10819,60.000000,82.000000,55.250176,-165.185449,578,1385290000.00000000000,149153.00000000000,578,579,580,659,556,537,B-05
13542,75.000000,75.000000,55.263903,-168.180779,568,1445640000.00000000000,152303.00000000000,568,574,575,654,551,566,
13179,73.000000,76.000000,55.272292,-167.776328,571,1452960000.00000000000,152559.00000000000,571,572,573,655,552,533,B-01
12816,71.000000,77.000000,55.279428,-167.371730,571,1452960000.00000000000,152559.00000000000,571,572,573,655,552,533,B-01
9186,51.000000,87.000000,55.281799,-163.322858,582,1370510000.00000000000,147654.00000000000,582,578,579,662,559,540,B-08
12453,69.000000,78.000000,55.285311,-166.967007,573,1329110000.00000000000,146005.00000000000,573,573,574,656,553,534,B-02
9549,53.000000,86.000000,55.287207,-163.727622,580,1398990000.00000000000,149715.00000000000,580,577,578,661,558,539,B-07
12090,67.000000,79.000000,55.289939,-166.562184,575,1399390000.00000000000,149818.00000000000,575,575,576,657,554,535,B-03
9912,55.000000,85.000000,55.291362,-164.132477,580,1398990000.00000000000,149715.00000000000,580,577,578,661,558,539,B-07
11727,65.000000,80.000000,55.293314,-166.157284,575,1399390000.00000000000,149818.00000000000,575,575,576,657,554,535,B-03
10275,57.000000,84.000000,55.294262,-164.537400,579,1343100000.00000000000,146466.00000000000,579,580,581,660,557,538,B-06
11364,63.000000,81.000000,55.295433,-165.752332,577,1360180000.00000000000,147315.00000000000,577,576,577,658,555,536,B-04
10638,59.000000,83.000000,55.295907,-164.942365,578,1385290000.00000000000,149153.00000000000,578,579,580,659,556,537,B-05
11001,61.000000,82.000000,55.296298,-165.347351,578,1385290000.00000000000,149153.00000000000,578,579,580,659,556,537,B-05
13724,76.000000,75.000000,55.306273,-168.345856,568,1445640000.00000000000,152303.00000000000,568,574,575,654,551,566,
13361,74.000000,76.000000,55.315172,-167.941032,568,1445640000.00000000000,152303.00000000000,568,574,575,654,551,566,
12998,72.000000,77.000000,55.322817,-167.536050,571,1452960000.00000000000,152559.00000000000,571,572,573,655,552,533,B-01
12635,70.000000,78.000000,55.329208,-167.130933,573,1329110000.00000000000,146005.00000000000,573,573,574,656,553,534,B-02
9368,52.000000,87.000000,55.330213,-163.482806,582,1370510000.00000000000,147654.00000000000,582,578,579,662,559,540,B-08
12272,68.000000,79.000000,55.334343,-166.725707,573,1329110000.00000000000,146005.00000000000,573,573,574,656,553,534,B-02
9731,54.000000,86.000000,55.335125,-163.888050,580,1398990000.00000000000,149715.00000000000,580,577,578,661,558,539,B-07
11909,66.000000,80.000000,55.338223,-166.320394,575,1399390000.00000000000,149818.00000000000,575,575,576,657,554,535,B-03
10094,56.000000,85.000000,55.338782,-164.293375,580,1398990000.00000000000,149715.00000000000,580,577,578,661,558,539,B-07
11546,64.000000,81.000000,55.340847,-165.915018,577,1360180000.00000000000,147315.00000000000,577,576,577,658,555,536,B-04
10457,58.000000,84.000000,55.341182,-164.698759,579,1343100000.00000000000,146466.00000000000,579,580,581,660,557,538,B-06
11183,62.000000,82.000000,55.342215,-165.509605,577,1360180000.00000000000,147315.00000000000,577,576,577,658,555,536,B-04
10820,60.000000,83.000000,55.342327,-165.104177,578,1385290000.00000000000,149153.00000000000,578,579,580,659,556,537,B-05
13543,75.000000,76.000000,55.357841,-168.106069,568,1445640000.00000000000,152303.00000000000,568,574,575,654,551,566,
13180,73.000000,77.000000,55.365996,-167.700706,571,1452960000.00000000000,152559.00000000000,571,572,573,655,552,533,B-01
9187,51.000000,88.000000,55.372757,-163.237494,582,1370510000.00000000000,147654.00000000000,582,578,579,662,559,540,B-08
